;;;;Utility;Suppressed;Transformation
Dataset;Utility measure;Privacy model;Uniqueness;Value;Value;Value
Atus;Loss;p-sample-uniqueness;0.005;0.054781390973774706;3.164006505295288;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.006;0.14281963576096252;3.965114704971507;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.006;0.05380348442570857;3.064053422048649;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.007;0.14122838522395365;3.8651616217248677;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.007;0.05283662394947549;2.9641003388020093;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.008;0.1398222197159364;3.76502309676534;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.008;0.05186331707998634;2.863961813842482;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.009;0.13841244051091398;3.665070013518701;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.009;0.050892184408137635;2.7640087305958425;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.01;0.1370032714876576;3.565116930272062;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.01;0.049921031452824324;2.6640556473492034;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;k-anonymity;0.001;0.1769187668032937;4.663302753994878;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 0%, 0%)
Atus;Loss;k-anonymity;0.001;0.08126506739673942;2.9459270509389843;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 33%, 0%)
Atus;Entropy;k-anonymity;0.002;0.19339645790523566;5.427322611093494;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 0%, 50%)
Atus;Loss;k-anonymity;0.002;0.08918638336968836;3.7898722862923337;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 33%, 0%)
Atus;Entropy;k-anonymity;0.003;0.20550948381319759;6.370850046267708;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 0%, 50%)
Atus;Loss;k-anonymity;0.003;0.09569470283133096;4.483424292493505;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 33%, 0%)
Atus;Entropy;k-anonymity;0.004;0.23641867366280397;5.378736882316835;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Atus;Loss;k-anonymity;0.004;0.11814667313151728;6.407752947132423;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 33%, 50%)
Atus;Entropy;k-anonymity;0.005;0.254365547636126;6.810161464099411;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Atus;Loss;k-anonymity;0.005;0.13233466020414314;6.810161464099411;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Atus;Entropy;k-anonymity;0.006;0.2675475622880172;7.877378521769931;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Atus;Loss;k-anonymity;0.006;0.14212878150236574;7.877378521769931;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Atus;Entropy;k-anonymity;0.007;0.2789569996164093;7.850118589975392;(0%, 80%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Atus;Loss;k-anonymity;0.007;0.15091668172966183;8.83722482767829;(0%, 60%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Atus;Entropy;k-anonymity;0.008;0.31589751153779544;9.514272521432426;(0%, 80%, 0%, 50%, 50%, 0%, 50%, 33%, 50%)
Atus;Loss;k-anonymity;0.008;0.18349093270085137;11.150981079382035;(0%, 80%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Atus;Entropy;k-anonymity;0.009;0.3382564015089346;11.535772633624662;(0%, 80%, 0%, 50%, 50%, 0%, 50%, 33%, 50%)
Atus;Loss;k-anonymity;0.009;0.20772687266387904;11.115376270507534;(0%, 80%, 0%, 0%, 50%, 0%, 50%, 67%, 50%)
Atus;Entropy;k-anonymity;0.01;0.3569082709159073;7.794300634396099;(0%, 80%, 0%, 50%, 50%, 0%, 50%, 100%, 50%)
Atus;Loss;k-anonymity;0.01;0.2130856280604458;11.624599214098021;(50%, 80%, 0%, 0%, 50%, 0%, 50%, 33%, 50%)
Ihis;Entropy;p-sample-uniqueness;0.001;0.2251331558835867;3.705559428372255;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.001;0.08599526033341079;3.505308737968201;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;p-sample-uniqueness;0.002;0.22404452908652756;3.605517870069979;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.002;0.08503491376573102;3.405267179665925;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;p-sample-uniqueness;0.003;0.22293255743627366;3.5055600986674533;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.003;0.0840753297615601;3.3053094082633994;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
